@relation Phishing.Detection

@attribute protocol {http,https,other}
@attribute FrequentTermsvsRegistrant integer
@attribute NOofDomainNamecandidatesinHostnameandContent integer
@attribute NOofDomainNamecandidatesinHostname integer
@attribute NumericHostname {true,false}
@attribute TitlevsRegistrant integer
@attribute TitlevsDomainNamecandidatesinHostname integer
@attribute FrequentTermsvsHostDomain integer
@attribute CopyrightvsRegistrant integer
@attribute DomainNamecandidatesinAnchorsvsRegistrant integer
@attribute phising {true,false}
@data 
http,15.0,33,33,false,92.0,100.0,17.0,5.0,22.0,false
http,17.0,4,4,false,58.0,52.0,13.0,19.0,26.0,false
https,15.0,2,2,false,64.0,54.0,11.0,-1.0,26.0,false
http,22.0,0,0,false,40.0,31.0,17.0,22.0,31.0,false
http,8.0,8,8,false,58.0,51.0,13.0,8.0,14.0,false
http,8.0,1,0,false,35.0,25.0,4.0,-1.0,21.0,false
http,9.0,44,44,false,29.0,26.0,6.0,9.0,14.0,false
http,19.0,1,1,false,46.0,35.0,16.0,-1.0,33.0,false
http,6.0,70,70,false,53.0,59.0,16.0,-1.0,12.0,false
http,-1.0,0,0,false,-1.0,38.0,5.0,-1.0,-1.0,false
http,16.0,0,0,false,68.0,54.0,5.0,8.0,24.0,false
http,10.0,2,2,false,32.0,31.0,9.0,-1.0,14.0,false
http,18.0,86,86,false,32.0,17.0,21.0,20.0,24.0,false
http,0.0,7,7,false,35.0,45.0,10.0,0.0,9.0,false
http,10.0,0,0,false,29.0,21.0,6.0,-1.0,-1.0,false
http,35.0,311,311,false,96.0,82.0,13.0,28.0,36.0,false
http,23.0,58,58,false,75.0,65.0,13.0,23.0,26.0,false
https,7.0,1,1,false,47.0,45.0,10.0,-1.0,9.0,false
http,17.0,0,0,false,67.0,62.0,9.0,-1.0,25.0,false
http,18.0,0,0,false,18.0,14.0,14.0,-1.0,40.0,false
https,10.0,51,51,false,58.0,69.0,17.0,12.0,19.0,false
https,5.0,11,11,false,42.0,45.0,15.0,-1.0,20.0,false
http,18.0,1,1,false,75.0,72.0,9.0,22.0,-1.0,false
https,15.0,1,1,false,20.0,14.0,13.0,11.0,24.0,false
https,14.0,125,125,false,64.0,79.0,9.0,-1.0,15.0,false
http,6.0,6,6,false,60.0,64.0,10.0,5.0,16.0,false
http,18.0,42,42,false,31.0,13.0,11.0,19.0,34.0,false
https,10.0,0,0,false,17.0,10.0,10.0,-1.0,-1.0,false
http,18.0,63,63,false,70.0,66.0,12.0,20.0,25.0,false
http,6.0,0,0,false,51.0,61.0,13.0,8.0,26.0,false
http,14.0,265,265,false,65.0,61.0,10.0,5.0,23.0,false
http,6.0,38,38,false,54.0,58.0,10.0,16.0,16.0,false
https,9.0,40,40,false,23.0,14.0,10.0,10.0,18.0,false
http,30.0,5,5,false,74.0,47.0,11.0,-1.0,39.0,false
http,18.0,2,2,false,45.0,30.0,10.0,-1.0,29.0,false
http,17.0,0,0,false,62.0,62.0,9.0,12.0,22.0,false
http,9.0,9,9,false,76.0,70.0,12.0,11.0,11.0,false
http,10.0,1,1,false,35.0,42.0,10.0,12.0,14.0,false
http,18.0,6,6,false,97.0,90.0,8.0,8.0,24.0,false
http,16.0,72,72,false,75.0,61.0,14.0,-1.0,25.0,false
http,14.0,4,4,false,85.0,70.0,19.0,-1.0,27.0,false
http,9.0,1,1,false,63.0,49.0,6.0,11.0,16.0,false
http,15.0,15,15,false,63.0,58.0,14.0,16.0,21.0,false
http,18.0,63,63,false,70.0,66.0,12.0,20.0,25.0,false
http,15.0,44,44,false,66.0,64.0,9.0,15.0,23.0,false
http,14.0,4,4,false,85.0,70.0,19.0,-1.0,27.0,false
http,5.0,283,283,false,42.0,51.0,11.0,-1.0,18.0,false
https,9.0,23,23,false,42.0,42.0,6.0,-1.0,18.0,false
https,11.0,1,1,false,61.0,58.0,16.0,-1.0,16.0,false
http,12.0,3,3,false,82.0,87.0,15.0,5.0,25.0,false
http,12.0,0,0,false,20.0,15.0,6.0,-1.0,18.0,false
http,13.0,4,4,false,52.0,65.0,15.0,-1.0,24.0,false
http,12.0,182,182,false,20.0,19.0,10.0,-1.0,18.0,false
https,12.0,82,82,false,65.0,71.0,13.0,-1.0,22.0,false
http,4.0,285,285,false,60.0,74.0,12.0,0.0,14.0,false
http,0.0,16,16,false,74.0,61.0,6.0,-1.0,6.0,false
http,18.0,34,34,false,24.0,6.0,10.0,-1.0,27.0,false
https,3.0,3,3,false,24.0,31.0,10.0,3.0,13.0,false
http,6.0,257,257,false,51.0,49.0,14.0,4.0,11.0,false
http,11.0,1,1,false,57.0,60.0,10.0,11.0,17.0,false
http,19.0,10,10,false,93.0,79.0,10.0,21.0,28.0,false
http,6.0,84,84,false,50.0,52.0,14.0,5.0,15.0,false
http,18.0,42,42,false,141.0,137.0,12.0,15.0,22.0,false
http,8.0,262,262,false,76.0,77.0,9.0,-1.0,16.0,false
http,6.0,1,1,false,78.0,84.0,10.0,-1.0,10.0,false
http,18.0,217,217,false,68.0,55.0,9.0,14.0,22.0,false
https,18.0,10,10,false,111.0,92.0,6.0,-1.0,25.0,false
http,19.0,34,34,false,83.0,68.0,10.0,-1.0,24.0,false
http,5.0,335,335,false,47.0,54.0,10.0,5.0,11.0,false
http,17.0,278,278,false,92.0,88.0,9.0,17.0,26.0,false
http,23.0,118,118,false,80.0,73.0,18.0,23.0,33.0,false
http,11.0,2,2,false,27.0,26.0,14.0,12.0,21.0,false
https,5.0,0,0,false,12.0,12.0,12.0,5.0,-1.0,false
http,13.0,16,16,false,60.0,63.0,12.0,14.0,15.0,false
https,12.0,4,4,false,12.0,8.0,8.0,17.0,16.0,false
http,9.0,6,6,false,68.0,59.0,15.0,-1.0,6.0,false
https,17.0,3,3,false,34.0,32.0,15.0,17.0,24.0,false
https,6.0,0,0,false,6.0,6.0,6.0,5.0,17.0,false
http,10.0,113,113,false,39.0,46.0,16.0,12.0,17.0,false
http,19.0,90,90,false,127.0,132.0,12.0,-1.0,16.0,false
https,9.0,10,10,false,0.0,10.0,17.0,-1.0,10.0,false
http,33.0,10,10,false,93.0,69.0,11.0,33.0,39.0,false
https,12.0,0,0,false,49.0,43.0,6.0,-1.0,22.0,false
http,18.0,214,214,false,79.0,63.0,15.0,18.0,27.0,false
http,15.0,37,37,false,71.0,73.0,11.0,12.0,27.0,false
http,8.0,99,99,false,66.0,63.0,17.0,5.0,6.0,false
http,13.0,524,524,false,20.0,17.0,13.0,9.0,20.0,false
http,14.0,99,99,false,69.0,51.0,5.0,15.0,26.0,false
http,12.0,69,69,false,56.0,64.0,10.0,-1.0,19.0,false
http,19.0,33,33,false,60.0,36.0,8.0,24.0,28.0,false
http,12.0,26,26,false,57.0,65.0,10.0,-1.0,19.0,false
http,7.0,22,22,false,63.0,56.0,10.0,8.0,16.0,false
https,6.0,19,19,false,29.0,33.0,10.0,6.0,16.0,false
http,8.0,185,185,false,57.0,67.0,12.0,9.0,11.0,false
http,7.0,0,0,false,49.0,54.0,8.0,-1.0,-1.0,false
http,14.0,1107,1107,false,135.0,136.0,15.0,11.0,23.0,false
http,14.0,0,0,false,94.0,109.0,17.0,-1.0,-1.0,false
http,5.0,4,4,false,72.0,76.0,11.0,6.0,12.0,false
https,14.0,9,9,false,53.0,44.0,10.0,-1.0,29.0,false
https,6.0,0,0,false,43.0,43.0,6.0,-1.0,-1.0,false
http,38.0,101,101,false,78.0,46.0,20.0,38.0,46.0,false
http,12.0,1,1,false,31.0,31.0,8.0,-1.0,20.0,false
http,18.0,0,0,false,89.0,69.0,6.0,-1.0,28.0,false
http,18.0,0,0,false,89.0,69.0,6.0,-1.0,28.0,false
http,7.0,213,213,false,62.0,61.0,6.0,5.0,11.0,false
http,5.0,6,6,false,13.0,17.0,9.0,6.0,13.0,false
http,10.0,2,2,false,98.0,92.0,18.0,11.0,13.0,false
https,10.0,7,7,false,66.0,73.0,11.0,13.0,19.0,false
http,10.0,193,193,false,89.0,83.0,4.0,-1.0,14.0,false
http,8.0,64,64,false,40.0,33.0,9.0,-1.0,11.0,false
http,8.0,72,72,false,61.0,51.0,4.0,-1.0,11.0,false
https,11.0,27,27,false,25.0,20.0,6.0,-1.0,17.0,false
http,18.0,1,1,false,32.0,19.0,10.0,-1.0,29.0,false
http,6.0,35,35,false,66.0,65.0,6.0,6.0,12.0,false
https,5.0,10,10,false,66.0,71.0,10.0,-1.0,13.0,false
http,5.0,408,408,false,69.0,77.0,13.0,3.0,9.0,false
http,10.0,4,4,false,77.0,79.0,14.0,9.0,22.0,false
http,18.0,0,0,false,20.0,20.0,15.0,-1.0,33.0,false
http,38.0,1,1,false,70.0,22.0,12.0,39.0,54.0,false
http,16.0,1,1,false,65.0,55.0,6.0,-1.0,25.0,false
http,8.0,477,477,false,74.0,72.0,16.0,-1.0,17.0,false
http,12.0,5,5,false,21.0,4.0,17.0,12.0,22.0,false
http,9.0,70,70,false,55.0,56.0,8.0,7.0,9.0,false
https,5.0,3,3,false,53.0,64.0,16.0,5.0,19.0,false
http,18.0,66,66,false,84.0,79.0,11.0,20.0,23.0,false
http,20.0,29,29,false,28.0,5.0,11.0,-1.0,23.0,false
http,18.0,0,0,false,27.0,19.0,14.0,-1.0,-1.0,false
http,11.0,12,12,false,73.0,73.0,15.0,13.0,22.0,false
https,48.0,122,119,false,72.0,50.0,9.0,49.0,54.0,false
http,11.0,6,6,false,141.0,143.0,20.0,-1.0,18.0,false
http,6.0,0,0,false,10.0,37.0,13.0,-1.0,-1.0,false
http,13.0,69,69,false,68.0,70.0,16.0,16.0,23.0,false
http,9.0,2,2,false,108.0,97.0,15.0,-1.0,16.0,false
http,17.0,10,10,false,74.0,66.0,15.0,15.0,20.0,false
http,16.0,81,81,false,63.0,50.0,19.0,-1.0,23.0,false
http,22.0,12,12,false,87.0,73.0,14.0,22.0,28.0,false
http,11.0,159,157,false,25.0,9.0,17.0,-1.0,15.0,false
http,22.0,73,73,false,54.0,87.0,10.0,-1.0,27.0,false
http,9.0,14,14,false,64.0,59.0,28.0,12.0,12.0,false
https,51.0,8,8,false,68.0,21.0,8.0,-1.0,56.0,false
https,22.0,5,5,false,49.0,77.0,11.0,-1.0,27.0,false
http,-1.0,7,7,false,-1.0,125.0,8.0,-1.0,-1.0,false
http,8.0,13,13,false,53.0,58.0,21.0,5.0,13.0,false
https,4.0,1,1,false,45.0,44.0,15.0,-1.0,12.0,false
http,9.0,0,0,false,59.0,53.0,15.0,14.0,25.0,false
http,9.0,3,3,false,66.0,46.0,18.0,-1.0,17.0,false
http,9.0,2,2,false,13.0,16.0,10.0,7.0,19.0,false
http,9.0,1,1,false,23.0,24.0,17.0,6.0,19.0,false
https,8.0,13,13,false,76.0,80.0,11.0,-1.0,12.0,false
