@relation Phishing.Detection

@attribute protocol {http,https,other}
@attribute FrequentTermsvsRegistrant integer
@attribute NOofDomainNamecandidatesinHostnameandContent integer
@attribute NOofDomainNamecandidatesinHostname integer
@attribute NumericHostname {true,false}
@attribute TitlevsRegistrant integer
@attribute TitlevsDomainNamecandidatesinHostname integer
@attribute FrequentTermsvsHostDomain integer
@attribute CopyrightvsRegistrant integer
@attribute DomainNamecandidatesinAnchorsvsRegistrant integer
@attribute phising {true,false}
@data 
http,8.0,0,0,false,8.0,12.0,12.0,-1.0,-1.0,false
http,11.0,6,6,false,21.0,13.0,13.0,12.0,19.0,false
http,12.0,4,4,false,52.0,47.0,13.0,17.0,21.0,false
http,19.0,0,0,false,31.0,25.0,11.0,20.0,29.0,false
http,18.0,80,80,false,79.0,82.0,21.0,20.0,27.0,false
http,25.0,39,39,false,90.0,65.0,18.0,-1.0,34.0,false
http,3.0,1,1,false,39.0,44.0,6.0,3.0,14.0,false
http,9.0,102,102,false,33.0,33.0,11.0,6.0,18.0,false
https,9.0,7,7,false,21.0,32.0,13.0,12.0,22.0,false
http,18.0,126,126,false,54.0,40.0,10.0,19.0,30.0,false
http,9.0,2,2,false,15.0,14.0,8.0,-1.0,17.0,false
http,12.0,2,2,false,19.0,17.0,14.0,-1.0,22.0,false
http,25.0,76,76,false,5.0,39.0,9.0,-1.0,30.0,false
http,18.0,38,38,false,41.0,25.0,14.0,21.0,27.0,false
http,18.0,194,194,false,78.0,71.0,11.0,-1.0,27.0,false
http,18.0,117,117,false,33.0,43.0,18.0,18.0,27.0,false
http,18.0,3,3,false,48.0,42.0,12.0,22.0,27.0,false
https,12.0,3,3,false,5.0,10.0,17.0,12.0,21.0,false
http,18.0,5,5,false,91.0,82.0,13.0,19.0,23.0,false
http,10.0,378,378,false,70.0,78.0,14.0,6.0,21.0,false
http,20.0,80,80,false,68.0,59.0,9.0,-1.0,29.0,false
https,18.0,1,1,false,63.0,50.0,10.0,-1.0,22.0,false
http,0.0,406,406,false,35.0,47.0,14.0,0.0,16.0,false
http,6.0,27,27,false,59.0,69.0,16.0,5.0,22.0,false
http,10.0,32,32,false,21.0,19.0,10.0,-1.0,21.0,false
http,11.0,109,108,false,58.0,66.0,10.0,11.0,25.0,false
https,14.0,18,18,false,85.0,75.0,10.0,16.0,24.0,false
http,0.0,1553,1553,false,68.0,85.0,17.0,-1.0,9.0,false
http,12.0,13,13,false,60.0,66.0,16.0,5.0,4.0,false
http,18.0,2,2,false,58.0,41.0,10.0,10.0,23.0,false
https,10.0,2,2,false,0.0,17.0,17.0,5.0,18.0,false
http,11.0,33,33,false,39.0,36.0,14.0,-1.0,13.0,false
https,9.0,15,15,false,65.0,58.0,16.0,-1.0,25.0,false
http,16.0,22,22,false,66.0,77.0,9.0,16.0,24.0,false
http,24.0,265,265,false,65.0,64.0,11.0,-1.0,27.0,false
http,9.0,1,1,false,37.0,46.0,14.0,-1.0,27.0,false
http,5.0,3,3,false,51.0,64.0,13.0,-1.0,19.0,false
http,6.0,79,79,false,75.0,73.0,13.0,0.0,10.0,false
http,12.0,86,86,false,56.0,53.0,9.0,14.0,13.0,false
http,38.0,376,376,false,78.0,53.0,19.0,39.0,46.0,false
http,15.0,60,60,false,50.0,40.0,9.0,15.0,20.0,false
http,34.0,61,61,false,78.0,60.0,8.0,34.0,44.0,false
http,8.0,240,240,false,76.0,77.0,15.0,8.0,17.0,false
http,5.0,2,2,false,86.0,95.0,12.0,6.0,16.0,false
http,13.0,11,11,false,32.0,25.0,13.0,4.0,6.0,false
http,63.0,207,207,false,125.0,60.0,16.0,64.0,67.0,false
http,11.0,68,68,false,63.0,60.0,6.0,12.0,17.0,false
http,9.0,10,10,false,61.0,61.0,13.0,-1.0,22.0,false
http,13.0,273,273,false,75.0,72.0,11.0,14.0,18.0,false
http,10.0,43,43,false,41.0,41.0,10.0,10.0,19.0,false
http,18.0,212,212,false,80.0,67.0,9.0,20.0,26.0,false
http,6.0,13,13,false,38.0,29.0,6.0,2.0,8.0,false
http,10.0,353,353,false,89.0,90.0,13.0,12.0,18.0,false
http,9.0,12,12,false,64.0,64.0,15.0,13.0,20.0,false
http,5.0,4,4,false,36.0,37.0,9.0,5.0,13.0,false
http,24.0,17,17,false,62.0,92.0,9.0,28.0,30.0,false
http,18.0,2,2,false,64.0,44.0,6.0,19.0,24.0,false
http,0.0,29,29,false,28.0,37.0,8.0,0.0,5.0,false
http,19.0,26,26,false,48.0,38.0,10.0,18.0,26.0,false
https,9.0,14,14,false,69.0,72.0,10.0,6.0,15.0,false
http,13.0,0,0,false,50.0,44.0,9.0,-1.0,26.0,false
http,20.0,5,5,false,28.0,24.0,18.0,23.0,28.0,false
http,3.0,45,45,false,36.0,45.0,10.0,-1.0,12.0,false
http,10.0,36,36,false,60.0,53.0,10.0,10.0,19.0,false
http,12.0,119,119,false,56.0,65.0,21.0,-1.0,20.0,false
http,9.0,166,166,false,68.0,65.0,15.0,-1.0,25.0,false
http,13.0,8,8,false,41.0,53.0,17.0,4.0,19.0,false
http,17.0,72,72,false,7.0,34.0,10.0,16.0,27.0,false
http,19.0,121,120,false,145.0,132.0,17.0,-1.0,37.0,false
https,15.0,11,11,false,81.0,66.0,6.0,17.0,25.0,false
http,8.0,7,7,false,49.0,53.0,10.0,8.0,18.0,false
http,15.0,165,164,false,85.0,82.0,10.0,19.0,25.0,false
http,0.0,11,11,false,32.0,46.0,14.0,8.0,10.0,false
