@relation Phishing.Detection

@attribute protocol {http,https,other}
@attribute FrequentTermsvsRegistrant integer
@attribute NOofDomainNamecandidatesinHostnameandContent integer
@attribute NOofDomainNamecandidatesinHostname integer
@attribute NumericHostname {true,false}
@attribute TitlevsRegistrant integer
@attribute TitlevsDomainNamecandidatesinHostname integer
@attribute FrequentTermsvsHostDomain integer
@attribute CopyrightvsRegistrant integer
@attribute DomainNamecandidatesinAnchorsvsRegistrant integer
@attribute phising {true,false}
@data 
http,-1.0,0,0,false,-1.0,36.0,4.0,-1.0,-1.0,true
http,6.0,0,0,false,54.0,81.0,11.0,-1.0,-1.0,true
http,6.0,0,0,false,54.0,81.0,11.0,-1.0,-1.0,true
http,16.0,0,0,false,52.0,50.0,16.0,-1.0,22.0,true
http,-1.0,0,0,false,-1.0,46.0,4.0,-1.0,-1.0,true
http,45.0,0,0,false,45.0,38.0,38.0,-1.0,-1.0,true
http,6.0,0,0,false,54.0,80.0,11.0,-1.0,-1.0,true
http,13.0,1,1,false,13.0,16.0,16.0,-1.0,-1.0,true
http,10.0,5,5,false,19.0,17.0,8.0,12.0,-1.0,true
http,37.0,9,9,false,45.0,31.0,19.0,-1.0,-1.0,true
http,1.0,1,1,false,28.0,44.0,13.0,2.0,-1.0,true
http,10.0,0,0,false,10.0,43.0,3.0,-1.0,-1.0,true
http,17.0,0,0,false,32.0,6.0,2.0,-1.0,24.0,true
http,12.0,0,0,false,29.0,36.0,16.0,-1.0,-1.0,true
http,11.0,0,0,false,25.0,32.0,18.0,-1.0,-1.0,true
http,12.0,3,3,false,34.0,34.0,8.0,-1.0,-1.0,true
http,9.0,1,1,false,24.0,38.0,23.0,-1.0,-1.0,true
http,17.0,0,0,false,25.0,17.0,2.0,-1.0,22.0,true
http,-1.0,1,1,false,-1.0,41.0,13.0,-1.0,-1.0,true
http,15.0,5,5,false,33.0,33.0,11.0,15.0,23.0,true
http,10.0,1,1,false,30.0,37.0,13.0,-1.0,-1.0,true
http,10.0,0,0,false,18.0,26.0,18.0,-1.0,-1.0,true
http,11.0,2,2,false,21.0,28.0,18.0,-1.0,19.0,true
http,13.0,0,0,false,13.0,26.0,26.0,-1.0,-1.0,true
http,7.0,0,0,false,7.0,18.0,11.0,-1.0,-1.0,true
http,12.0,1,1,false,12.0,12.0,8.0,-1.0,20.0,true
http,10.0,0,0,false,10.0,17.0,13.0,-1.0,-1.0,true
http,10.0,1,1,false,34.0,37.0,13.0,12.0,13.0,true
http,21.0,0,0,false,50.0,39.0,10.0,-1.0,25.0,true
http,-1.0,1,1,false,-1.0,37.0,21.0,-1.0,-1.0,true
http,38.0,0,0,false,53.0,28.0,13.0,-1.0,55.0,true
http,13.0,0,0,false,27.0,34.0,5.0,-1.0,-1.0,true
http,10.0,2,2,false,20.0,31.0,3.0,-1.0,18.0,true
http,17.0,1,1,false,40.0,67.0,11.0,19.0,-1.0,true
http,14.0,0,0,false,14.0,12.0,12.0,-1.0,-1.0,true
http,-1.0,1,1,false,-1.0,14.0,9.0,-1.0,-1.0,true
http,10.0,5,5,false,65.0,65.0,10.0,-1.0,-1.0,true
http,12.0,5,5,false,17.0,17.0,3.0,14.0,-1.0,true
http,12.0,5,5,false,17.0,17.0,3.0,14.0,-1.0,true
http,-1.0,1,1,false,-1.0,28.0,8.0,-1.0,-1.0,true
http,12.0,5,5,false,17.0,17.0,3.0,14.0,-1.0,true
http,12.0,5,5,false,17.0,17.0,3.0,14.0,-1.0,true
http,12.0,5,5,false,17.0,15.0,10.0,14.0,-1.0,true
http,13.0,0,0,false,27.0,34.0,5.0,-1.0,-1.0,true
http,38.0,0,0,false,53.0,28.0,13.0,-1.0,55.0,true
http,-1.0,1,1,false,-1.0,14.0,9.0,-1.0,-1.0,true
http,10.0,1,1,false,23.0,35.0,16.0,12.0,17.0,true
http,13.0,1,1,false,28.0,28.0,13.0,15.0,20.0,true
http,11.0,0,0,false,11.0,11.0,11.0,-1.0,-1.0,true
http,13.0,1,1,false,37.0,43.0,15.0,-1.0,17.0,true
http,1.0,0,0,false,1.0,11.0,11.0,-1.0,-1.0,true
http,8.0,0,0,false,54.0,55.0,9.0,-1.0,-1.0,true
http,14.0,0,0,false,28.0,26.0,12.0,-1.0,-1.0,true
http,15.0,0,0,false,59.0,62.0,12.0,-1.0,-1.0,true
http,8.0,0,0,false,54.0,55.0,9.0,-1.0,-1.0,true
http,-1.0,1,1,false,-1.0,24.0,9.0,-1.0,-1.0,true
http,1.0,1,1,false,10.0,19.0,10.0,-1.0,-1.0,true
http,10.0,0,0,false,56.0,73.0,14.0,-1.0,-1.0,true
http,35.0,0,0,false,53.0,114.0,11.0,-1.0,55.0,true
http,-1.0,0,0,false,-1.0,32.0,14.0,-1.0,-1.0,true
http,30.0,1,1,false,46.0,37.0,3.0,-1.0,-1.0,true
http,10.0,1,1,false,25.0,36.0,17.0,-1.0,-1.0,true
http,11.0,4,4,false,103.0,107.0,17.0,-1.0,22.0,true
