@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
40,159,0,156,40,0.795918,1,0.504762,1,0.495238,0.670886,0.887324,1.126984,0
41,159,0,155,41,0.790816,1,0.506369,1,0.493631,0.672304,0.884507,1.130573,0
42,159,0,154,42,0.785714,1,0.507987,1,0.492013,0.673729,0.88169,1.134185,0
43,159,0,153,43,0.780612,1,0.509615,1,0.490385,0.675159,0.878873,1.137821,0
44,159,0,152,44,0.77551,1,0.511254,1,0.488746,0.676596,0.876056,1.141479,0
45,159,0,151,45,0.770408,1,0.512903,1,0.487097,0.678038,0.873239,1.145161,0
46,159,0,150,46,0.765306,1,0.514563,1,0.485437,0.679487,0.870423,1.148867,0
47,159,0,149,47,0.760204,1,0.516234,1,0.483766,0.680942,0.867606,1.152597,0
48,159,0,148,48,0.755102,1,0.517915,1,0.482085,0.682403,0.864789,1.156352,0
49,159,0,147,49,0.75,1,0.519608,1,0.480392,0.683871,0.861972,1.160131,0
50,159,0,146,50,0.744898,1,0.521311,1,0.478689,0.685345,0.859155,1.163934,0
51,159,0,145,51,0.739796,1,0.523026,1,0.476974,0.686825,0.856338,1.167763,0
52,159,0,144,52,0.734694,1,0.524752,1,0.475248,0.688312,0.853521,1.171617,0
53,159,0,143,53,0.729592,1,0.52649,1,0.47351,0.689805,0.850704,1.175497,0
54,159,0,142,54,0.72449,1,0.528239,1,0.471761,0.691304,0.847887,1.179402,0
55,159,0,141,55,0.719388,1,0.53,1,0.47,0.69281,0.84507,1.183333,0
56,159,0,140,56,0.714286,1,0.531773,1,0.468227,0.694323,0.842254,1.187291,0
57,159,0,139,57,0.709184,1,0.533557,1,0.466443,0.695842,0.839437,1.191275,0
58,159,0,138,58,0.704082,1,0.535354,1,0.464646,0.697368,0.83662,1.195286,0
59,159,0,137,59,0.69898,1,0.537162,1,0.462838,0.698901,0.833803,1.199324,0
60,159,0,136,60,0.693878,1,0.538983,1,0.461017,0.700441,0.830986,1.20339,0
61,159,0,135,61,0.688776,1,0.540816,1,0.459184,0.701987,0.828169,1.207483,0
62,159,0,134,62,0.683673,1,0.542662,1,0.457338,0.70354,0.825352,1.211604,0
63,159,0,133,63,0.678571,1,0.544521,1,0.455479,0.7051,0.822535,1.215753,0
64,159,0,132,64,0.673469,1,0.546392,1,0.453608,0.706667,0.819718,1.219931,0
65,159,0,131,65,0.668367,1,0.548276,1,0.451724,0.708241,0.816901,1.224138,0
66,159,0,130,66,0.663265,1,0.550173,1,0.449827,0.709821,0.814085,1.228374,0
67,159,0,129,67,0.658163,1,0.552083,1,0.447917,0.711409,0.811268,1.232639,0
68,159,0,128,68,0.653061,1,0.554007,1,0.445993,0.713004,0.808451,1.236934,0
69,159,0,127,69,0.647959,1,0.555944,1,0.444056,0.714607,0.805634,1.241259,0
70,159,0,126,70,0.642857,1,0.557895,1,0.442105,0.716216,0.802817,1.245614,0
71,159,0,125,71,0.637755,1,0.559859,1,0.440141,0.717833,0.8,1.25,0
72,159,0,124,72,0.632653,1,0.561837,1,0.438163,0.719457,0.797183,1.254417,0
73,159,0,123,73,0.627551,1,0.56383,1,0.43617,0.721088,0.794366,1.258865,0
74,159,0,122,74,0.622449,1,0.565836,1,0.434164,0.722727,0.791549,1.263345,0
75,159,0,121,75,0.617347,1,0.567857,1,0.432143,0.724374,0.788732,1.267857,0
76,159,0,120,76,0.612245,1,0.569892,1,0.430108,0.726027,0.785915,1.272401,0
77,159,0,119,77,0.607143,1,0.571942,1,0.428058,0.727689,0.783099,1.276978,0
78,159,0,118,78,0.602041,1,0.574007,1,0.425993,0.729358,0.780282,1.281588,0
79,159,0,117,79,0.596939,1,0.576087,1,0.423913,0.731034,0.777465,1.286232,0
80,159,0,116,80,0.591837,1,0.578182,1,0.421818,0.732719,0.774648,1.290909,0
81,159,0,115,81,0.586735,1,0.580292,1,0.419708,0.734411,0.771831,1.29562,0
82,159,0,114,82,0.581633,1,0.582418,1,0.417582,0.736111,0.769014,1.300366,0
83,159,0,113,83,0.576531,1,0.584559,1,0.415441,0.737819,0.766197,1.305147,0
84,159,0,112,84,0.571429,1,0.586716,1,0.413284,0.739535,0.76338,1.309963,0.000001
85,159,0,111,85,0.566327,1,0.588889,1,0.411111,0.741259,0.760563,1.314815,0.000001
86,159,0,110,86,0.561224,1,0.591078,1,0.408922,0.742991,0.757746,1.319703,0.000001
87,159,0,109,87,0.556122,1,0.593284,1,0.406716,0.744731,0.75493,1.324627,0.000001
88,159,0,108,88,0.55102,1,0.595506,1,0.404494,0.746479,0.752113,1.329588,0.000001
89,159,0,107,89,0.545918,1,0.597744,1,0.402256,0.748235,0.749296,1.334586,0.000002
90,159,0,106,90,0.540816,1,0.6,1,0.4,0.75,0.746479,1.339623,0.000003
91,159,0,105,91,0.535714,1,0.602273,1,0.397727,0.751773,0.743662,1.344697,0.000003
92,159,0,104,92,0.530612,1,0.604563,1,0.395437,0.753555,0.740845,1.34981,0.000003
93,159,0,103,93,0.52551,1,0.60687,1,0.39313,0.755344,0.738028,1.354962,0.000004
94,159,0,102,94,0.520408,1,0.609195,1,0.390805,0.757143,0.735211,1.360153,0.000005
95,159,0,101,95,0.515306,1,0.611538,1,0.388462,0.75895,0.732394,1.365385,0.000006
96,159,0,100,96,0.510204,1,0.6139,1,0.3861,0.760766,0.729577,1.370656,0.000007
97,159,0,99,97,0.505102,1,0.616279,1,0.383721,0.76259,0.726761,1.375969,0.000009
98,159,0,98,98,0.5,1,0.618677,1,0.381323,0.764423,0.723944,1.381323,0.000009
99,159,0,97,99,0.494898,1,0.621094,1,0.378906,0.766265,0.721127,1.386719,0.000009
100,159,0,96,100,0.489796,1,0.623529,1,0.376471,0.768116,0.71831,1.392157,0.000012
101,159,0,95,101,0.484694,1,0.625984,1,0.374016,0.769976,0.715493,1.397638,0.000012
102,159,0,94,102,0.479592,1,0.628458,1,0.371542,0.771845,0.712676,1.403162,0.000012
103,159,0,93,103,0.47449,1,0.630952,1,0.369048,0.773723,0.709859,1.40873,0.000012
104,159,0,92,104,0.469388,1,0.633466,1,0.366534,0.77561,0.707042,1.414343,0.000012
105,159,0,91,105,0.464286,1,0.636,1,0.364,0.777506,0.704225,1.42,0.000013
106,159,0,90,106,0.459184,1,0.638554,1,0.361446,0.779412,0.701408,1.425703,0.000013
107,159,0,89,107,0.454082,1,0.641129,1,0.358871,0.781327,0.698592,1.431452,0.000014
108,159,0,88,108,0.44898,1,0.643725,1,0.356275,0.783251,0.695775,1.437247,0.000016
109,159,0,87,109,0.443878,1,0.646341,1,0.353659,0.785185,0.692958,1.443089,0.000017
110,159,0,86,110,0.438776,1,0.64898,1,0.35102,0.787129,0.690141,1.44898,0.000018
111,159,0,85,111,0.433673,1,0.651639,1,0.348361,0.789082,0.687324,1.454918,0.00002
112,159,0,84,112,0.428571,1,0.654321,1,0.345679,0.791045,0.684507,1.460905,0.00002
113,159,0,83,113,0.423469,1,0.657025,1,0.342975,0.793017,0.68169,1.466942,0.000024
114,159,0,82,114,0.418367,1,0.659751,1,0.340249,0.795,0.678873,1.473029,0.000026
115,159,0,81,115,0.413265,1,0.6625,1,0.3375,0.796992,0.676056,1.479167,0.000026
116,159,0,80,116,0.408163,1,0.665272,1,0.334728,0.798995,0.673239,1.485356,0.000029
117,159,0,79,117,0.403061,1,0.668067,1,0.331933,0.801008,0.670423,1.491597,0.000032
118,159,0,78,118,0.397959,1,0.670886,1,0.329114,0.80303,0.667606,1.49789,0.000038
119,159,0,77,119,0.392857,1,0.673729,1,0.326271,0.805063,0.664789,1.504237,0.000041
120,159,0,76,120,0.387755,1,0.676596,1,0.323404,0.807107,0.661972,1.510638,0.000042
121,159,0,75,121,0.382653,1,0.679487,1,0.320513,0.80916,0.659155,1.517094,0.000044
122,159,0,74,122,0.377551,1,0.682403,1,0.317597,0.811224,0.656338,1.523605,0.000052
123,159,0,73,123,0.372449,1,0.685345,1,0.314655,0.813299,0.653521,1.530172,0.000056
124,159,0,72,124,0.367347,1,0.688312,1,0.311688,0.815385,0.650704,1.536797,0.000059
125,159,0,71,125,0.362245,1,0.691304,1,0.308696,0.817481,0.647887,1.543478,0.000063
126,159,0,70,126,0.357143,1,0.694323,1,0.305677,0.819588,0.64507,1.550218,0.000075
127,159,0,69,127,0.352041,1,0.697368,1,0.302632,0.821705,0.642254,1.557018,0.000076
128,159,0,68,128,0.346939,1,0.700441,1,0.299559,0.823834,0.639437,1.563877,0.000082
129,159,0,67,129,0.341837,1,0.70354,1,0.29646,0.825974,0.63662,1.570796,0.00009
130,159,0,66,130,0.336735,1,0.706667,1,0.293333,0.828125,0.633803,1.577778,0.000117
131,159,0,65,131,0.331633,1,0.709821,1,0.290179,0.830287,0.630986,1.584821,0.00013
132,159,0,64,132,0.326531,1,0.713004,1,0.286996,0.832461,0.628169,1.591928,0.000131
133,159,0,63,133,0.321429,1,0.716216,1,0.283784,0.834646,0.625352,1.599099,0.000132
134,159,0,62,134,0.316327,1,0.719457,1,0.280543,0.836842,0.622535,1.606335,0.000144
135,159,0,61,135,0.311224,1,0.722727,1,0.277273,0.83905,0.619718,1.613636,0.000146
136,159,0,60,136,0.306122,1,0.726027,1,0.273973,0.84127,0.616901,1.621005,0.000152
137,159,0,59,137,0.30102,1,0.729358,1,0.270642,0.843501,0.614085,1.62844,0.000153
138,159,0,58,138,0.295918,1,0.732719,1,0.267281,0.845745,0.611268,1.635945,0.000163
139,159,0,57,139,0.290816,1,0.736111,1,0.263889,0.848,0.608451,1.643519,0.000174
140,159,0,56,140,0.285714,1,0.739535,1,0.260465,0.850267,0.605634,1.651163,0.000182
141,159,0,55,141,0.280612,1,0.742991,1,0.257009,0.852547,0.602817,1.658879,0.000187
142,159,0,54,142,0.27551,1,0.746479,1,0.253521,0.854839,0.6,1.666667,0.000206
143,159,0,53,143,0.270408,1,0.75,1,0.25,0.857143,0.597183,1.674528,0.000208
144,159,0,52,144,0.265306,1,0.753555,1,0.246445,0.859459,0.594366,1.682464,0.000216
145,158,1,52,144,0.265306,0.993711,0.752381,0.993711,0.247619,0.856369,0.591549,1.679844,0.000222
146,158,1,51,145,0.260204,0.993711,0.755981,0.993711,0.244019,0.858696,0.588732,1.687882,0.000227
147,158,1,50,146,0.255102,0.993711,0.759615,0.993711,0.240385,0.861035,0.585915,1.695997,0.000261
148,158,1,49,147,0.25,0.993711,0.763285,0.993711,0.236715,0.863388,0.583099,1.70419,0.000269
149,158,1,48,148,0.244898,0.993711,0.76699,0.993711,0.23301,0.865753,0.580282,1.712463,0.000299
150,158,1,47,149,0.239796,0.993711,0.770732,0.993711,0.229268,0.868132,0.577465,1.720816,0.000359
151,158,1,46,150,0.234694,0.993711,0.77451,0.993711,0.22549,0.870523,0.574648,1.729251,0.00036
152,158,1,45,151,0.229592,0.993711,0.778325,0.993711,0.221675,0.872928,0.571831,1.73777,0.000395
153,158,1,44,152,0.22449,0.993711,0.782178,0.993711,0.217822,0.875346,0.569014,1.746373,0.000495
154,158,1,43,153,0.219388,0.993711,0.78607,0.993711,0.21393,0.877778,0.566197,1.755061,0.000557
155,158,1,42,154,0.214286,0.993711,0.79,0.993711,0.21,0.880223,0.56338,1.763836,0.000611
156,158,1,41,155,0.209184,0.993711,0.79397,0.993711,0.20603,0.882682,0.560563,1.7727,0.000624
157,158,1,40,156,0.204082,0.993711,0.79798,0.993711,0.20202,0.885154,0.557746,1.781653,0.000701
158,158,1,39,157,0.19898,0.993711,0.80203,0.993711,0.19797,0.88764,0.55493,1.790697,0.000969
159,158,1,38,158,0.193878,0.993711,0.806122,0.993711,0.193878,0.890141,0.552113,1.799833,0.001023
160,158,1,37,159,0.188776,0.993711,0.810256,0.993711,0.189744,0.892655,0.549296,1.809063,0.001097
161,158,1,36,160,0.183673,0.993711,0.814433,0.993711,0.185567,0.895184,0.546479,1.818388,0.001271
162,158,1,35,161,0.178571,0.993711,0.818653,0.993711,0.181347,0.897727,0.543662,1.82781,0.001386
163,158,1,34,162,0.173469,0.993711,0.822917,0.993711,0.177083,0.900285,0.540845,1.83733,0.001885
164,158,1,33,163,0.168367,0.993711,0.827225,0.993711,0.172775,0.902857,0.538028,1.846949,0.002213
165,158,1,32,164,0.163265,0.993711,0.831579,0.993711,0.168421,0.905444,0.535211,1.85667,0.002329
166,158,1,31,165,0.158163,0.993711,0.835979,0.993711,0.164021,0.908046,0.532394,1.866494,0.003003
167,158,1,30,166,0.153061,0.993711,0.840426,0.993711,0.159574,0.910663,0.529577,1.876422,0.003397
168,158,1,29,167,0.147959,0.993711,0.84492,0.993711,0.15508,0.913295,0.526761,1.886456,0.004134
169,158,1,28,168,0.142857,0.993711,0.849462,0.993711,0.150538,0.915942,0.523944,1.896598,0.005339
170,158,1,27,169,0.137755,0.993711,0.854054,0.993711,0.145946,0.918605,0.521127,1.90685,0.006039
171,158,1,26,170,0.132653,0.993711,0.858696,0.993711,0.141304,0.921283,0.51831,1.917214,0.00665
172,158,1,25,171,0.127551,0.993711,0.863388,0.993711,0.136612,0.923977,0.515493,1.92769,0.007727
173,158,1,24,172,0.122449,0.993711,0.868132,0.993711,0.131868,0.926686,0.512676,1.938282,0.008556
174,158,1,23,173,0.117347,0.993711,0.872928,0.993711,0.127072,0.929412,0.509859,1.948991,0.013981
175,158,1,21,175,0.107143,0.993711,0.882682,0.993711,0.117318,0.934911,0.504225,1.970767,0.01477
176,158,1,20,176,0.102041,0.993711,0.88764,0.993711,0.11236,0.937685,0.501408,1.981839,0.015282
177,158,1,19,177,0.096939,0.993711,0.892655,0.993711,0.107345,0.940476,0.498592,1.993036,0.016057
178,158,1,18,178,0.091837,0.993711,0.897727,0.993711,0.102273,0.943284,0.495775,2.00436,0.017627
179,158,1,17,179,0.086735,0.993711,0.902857,0.993711,0.097143,0.946108,0.492958,2.015813,0.019211
180,158,1,16,180,0.081633,0.993711,0.908046,0.993711,0.091954,0.948949,0.490141,2.027398,0.022626
181,158,1,15,181,0.076531,0.993711,0.913295,0.993711,0.086705,0.951807,0.487324,2.039117,0.027543
182,158,1,14,182,0.071429,0.993711,0.918605,0.993711,0.081395,0.954683,0.484507,2.050973,0.032367
183,158,1,13,183,0.066327,0.993711,0.923977,0.993711,0.076023,0.957576,0.48169,2.062967,0.040597
184,158,1,12,184,0.061224,0.993711,0.929412,0.993711,0.070588,0.960486,0.478873,2.075102,0.050108
185,157,2,12,184,0.061224,0.987421,0.928994,0.987421,0.071006,0.957317,0.476056,2.074169,0.064934
186,157,2,11,185,0.056122,0.987421,0.934524,0.987421,0.065476,0.960245,0.473239,2.086515,0.136749
187,157,2,10,186,0.05102,0.987421,0.94012,0.987421,0.05988,0.96319,0.470423,2.09901,0.14248
188,157,2,9,187,0.045918,0.987421,0.945783,0.987421,0.054217,0.966154,0.467606,2.111654,0.14591
189,157,2,8,188,0.040816,0.987421,0.951515,0.987421,0.048485,0.969136,0.464789,2.124452,0.15237
190,157,2,7,189,0.035714,0.987421,0.957317,0.987421,0.042683,0.972136,0.461972,2.137406,0.233857
191,156,3,7,189,0.035714,0.981132,0.957055,0.981132,0.042945,0.968944,0.459155,2.136821,0.274765
192,156,3,6,190,0.030612,0.981132,0.962963,0.981132,0.037037,0.971963,0.456338,2.150012,0.361806
193,156,3,5,191,0.02551,0.981132,0.968944,0.981132,0.031056,0.975,0.453521,2.163366,0.366444
194,155,4,5,191,0.02551,0.974843,0.96875,0.974843,0.03125,0.971787,0.450704,2.162932,0.42827
195,155,4,4,192,0.020408,0.974843,0.974843,0.974843,0.025157,0.974843,0.447887,2.176536,0.674616
196,155,4,3,193,0.015306,0.974843,0.981013,0.974843,0.018987,0.977918,0.44507,2.190311,0.753579
197,154,5,3,193,0.015306,0.968553,0.980892,0.968553,0.019108,0.974684,0.442254,2.190041,0.960465
198,154,5,2,194,0.010204,0.968553,0.987179,0.968553,0.012821,0.977778,0.439437,2.20408,0.980057
199,153,6,2,194,0.010204,0.962264,0.987097,0.962264,0.012903,0.974522,0.43662,2.203895,0.999856
200,152,7,2,194,0.010204,0.955975,0.987013,0.955975,0.012987,0.971246,0.433803,2.203708,0.999992
201,151,8,2,194,0.010204,0.949686,0.986928,0.949686,0.013072,0.967949,0.430986,2.203519,1
202,150,9,2,194,0.010204,0.943396,0.986842,0.943396,0.013158,0.96463,0.428169,2.203327,1
203,149,10,2,194,0.010204,0.937107,0.986755,0.937107,0.013245,0.96129,0.425352,2.203132,1
204,148,11,2,194,0.010204,0.930818,0.986667,0.930818,0.013333,0.957929,0.422535,2.202935,1
205,147,12,2,194,0.010204,0.924528,0.986577,0.924528,0.013423,0.954545,0.419718,2.202735,1
206,146,13,2,194,0.010204,0.918239,0.986486,0.918239,0.013514,0.95114,0.416901,2.202533,1
207,0,159,0,196,0,0,0,0,0,0,0,?,1.00001
