@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
61,159,0,135,61,0.688776,1,0.540816,1,0.459184,0.701987,0.828169,1.207483,0.000111
62,159,0,134,62,0.683673,1,0.542662,1,0.457338,0.70354,0.825352,1.211604,0.000117
63,159,0,133,63,0.678571,1,0.544521,1,0.455479,0.7051,0.822535,1.215753,0.000121
64,159,0,132,64,0.673469,1,0.546392,1,0.453608,0.706667,0.819718,1.219931,0.000124
65,159,0,131,65,0.668367,1,0.548276,1,0.451724,0.708241,0.816901,1.224138,0.000127
66,159,0,130,66,0.663265,1,0.550173,1,0.449827,0.709821,0.814085,1.228374,0.000129
67,159,0,129,67,0.658163,1,0.552083,1,0.447917,0.711409,0.811268,1.232639,0.000129
68,159,0,128,68,0.653061,1,0.554007,1,0.445993,0.713004,0.808451,1.236934,0.000129
69,159,0,127,69,0.647959,1,0.555944,1,0.444056,0.714607,0.805634,1.241259,0.00013
70,159,0,126,70,0.642857,1,0.557895,1,0.442105,0.716216,0.802817,1.245614,0.000132
71,159,0,125,71,0.637755,1,0.559859,1,0.440141,0.717833,0.8,1.25,0.000136
72,158,1,125,71,0.637755,0.993711,0.558304,0.993711,0.441696,0.714932,0.797183,1.246528,0.000136
73,158,1,124,72,0.632653,0.993711,0.560284,0.993711,0.439716,0.716553,0.794366,1.250948,0.000139
74,158,1,123,73,0.627551,0.993711,0.562278,0.993711,0.437722,0.718182,0.791549,1.2554,0.000143
75,158,1,122,74,0.622449,0.993711,0.564286,0.993711,0.435714,0.719818,0.788732,1.259883,0.000161
76,158,1,121,75,0.617347,0.993711,0.566308,0.993711,0.433692,0.721461,0.785915,1.264399,0.000163
77,158,1,120,76,0.612245,0.993711,0.568345,0.993711,0.431655,0.723112,0.783099,1.268947,0.000163
78,158,1,119,77,0.607143,0.993711,0.570397,0.993711,0.429603,0.724771,0.780282,1.273528,0.000168
79,158,1,118,78,0.602041,0.993711,0.572464,0.993711,0.427536,0.726437,0.777465,1.278142,0.000177
80,158,1,117,79,0.596939,0.993711,0.574545,0.993711,0.425455,0.728111,0.774648,1.28279,0.000186
81,158,1,116,80,0.591837,0.993711,0.576642,0.993711,0.423358,0.729792,0.771831,1.287472,0.000192
