@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
55,126,37,3,186,0.015873,0.773006,0.976744,0.773006,0.023256,0.863014,0.366477,2.109288,0.79
56,125,38,2,187,0.010582,0.766871,0.984252,0.766871,0.015748,0.862069,0.360795,2.125501,0.8
57,124,39,2,187,0.010582,0.760736,0.984127,0.760736,0.015873,0.858131,0.357955,2.125231,0.81
58,122,41,2,187,0.010582,0.748466,0.983871,0.748466,0.016129,0.850174,0.352273,2.124678,0.82
59,121,42,2,187,0.010582,0.742331,0.98374,0.742331,0.01626,0.846154,0.349432,2.124395,0.84
60,119,44,2,187,0.010582,0.730061,0.983471,0.730061,0.016529,0.838028,0.34375,2.123815,0.85
61,119,44,1,188,0.005291,0.730061,0.991667,0.730061,0.008333,0.840989,0.340909,2.141513,0.86
62,118,45,1,188,0.005291,0.723926,0.991597,0.723926,0.008403,0.836879,0.338068,2.141362,0.88
63,114,49,1,188,0.005291,0.699387,0.991304,0.699387,0.008696,0.820144,0.326705,2.140731,0.89
64,109,54,1,188,0.005291,0.668712,0.990909,0.668712,0.009091,0.798535,0.3125,2.139877,0.9
65,103,60,1,188,0.005291,0.631902,0.990385,0.631902,0.009615,0.771536,0.295455,2.138745,0.91
66,100,63,1,188,0.005291,0.613497,0.990099,0.613497,0.009901,0.757576,0.286932,2.138128,0.92
67,99,64,1,188,0.005291,0.607362,0.99,0.607362,0.01,0.752852,0.284091,2.137914,0.93
68,96,67,1,188,0.005291,0.588957,0.989691,0.588957,0.010309,0.738462,0.275568,2.137246,0.94
69,93,70,1,188,0.005291,0.570552,0.989362,0.570552,0.010638,0.723735,0.267045,2.136536,0.95
70,82,81,1,188,0.005291,0.503067,0.987952,0.503067,0.012048,0.666667,0.235795,2.133491,0.96
71,78,85,0,189,0,0.478528,1,0.478528,0,0.647303,0.221591,2.159509,0.97
72,76,87,0,189,0,0.466258,1,0.466258,0,0.635983,0.215909,2.159509,0.98
73,68,95,0,189,0,0.417178,1,0.417178,0,0.588745,0.193182,2.159509,0.99
74,54,109,0,189,0,0.331288,1,0.331288,0,0.497696,0.153409,2.159509,1
75,0,163,0,189,0,0,0,0,0,0,0,?,1.00001
