@relation Phishing.Detection

@attribute hostname string
 @attribute ipaddress {True,False}
 @attribute portNumber {True,False}
 @attribute protocol {http,https,other}
 @attribute domain_in_hostname {True,False}
 @attribute obfuscation_characters {True,False}
 @attribute subdomain_path {True,False}
 @attribute max_length integer
 @attribute phising {True,False}

 @data 
'www.fondazione-nannini.org',False,False,http,False,False,True,9,True
'www.hetnieuwstetestament.com',False,False,http,False,False,False,4,True
'www.huntsvillebest.com',False,False,http,False,False,False,10,True
'www.tonyguerramiami.com',False,False,http,False,False,False,10,True
'insanejerky.com',False,False,http,False,False,False,111,True
'internetbanking.websslsafe.comlu.com',False,False,http,False,False,False,2,True
'studiopratiandpartners.com',False,False,http,False,False,True,11,True
'www.broadwaychange.cz',False,False,http,False,False,True,10,True
'www.broadwaychange.cz',False,False,http,False,False,False,7,True
'bambooknittingneedle.com',False,False,http,False,False,False,13,True
'www.terraluzseguros.com.br',False,False,http,False,False,False,6,True
'bambooknittingneedle.com',False,False,http,False,False,False,13,True
'www.nederveencosmetics.nl',False,False,https,False,False,False,6,True
'nacelleauto.be',False,False,http,False,False,True,9,True
'www.system-abfrage.com',False,False,http,False,False,False,10,True
'www.savoegypt.com.eg',False,False,http,False,False,False,6,True
'www.r4recipes.com',False,False,http,False,False,False,8,True
'www.r4recipes.com',False,False,http,False,False,False,0,True
'marville.com',False,False,http,False,False,False,7,True
'www.cafepioir.com',False,False,http,False,False,False,8,True
'www.r4recipes.com',False,False,http,False,False,True,8,True
'www.pinnacleconstructions.com',False,False,http,False,False,False,7,True
'atlantis-university.us',False,False,http,False,False,False,4,True
'tillbandmusic.pl',False,False,http,False,False,True,13,True
'bambooknittingneedle.com',False,False,http,False,False,False,13,True
'iconeng.ru',False,False,http,False,False,False,12,True
'www.18ktv.com.br',False,False,http,False,False,False,7,True
'daarussalafie.org',False,False,http,False,False,False,5,True
'www.limpiabrisasparamoto.com',False,False,http,False,False,False,5,True
'www.trilogyaccounting.com.au',False,False,http,False,False,False,10,True
'blau-dent.hu',False,False,http,False,False,False,9,True
'www.trialo.pl',False,False,http,False,False,False,15,True
'nael.ae',False,False,http,False,False,False,32,True
'www.tanjirsugar.com',False,False,http,False,False,False,2,True
'www.thisisours.org',False,False,http,False,False,True,10,True
'blancoyhogar.com.ar',False,False,http,False,False,False,3,True
'www.orlandoeijo.com',False,False,http,False,False,False,10,True
'www.kkdlab.com',False,False,http,False,False,False,10,True
'www.blizzard-email-wow-battle.com',False,False,http,False,False,True,13,True
'www.blizzard-email-wow-battle.com',False,False,http,False,False,True,7,True
'fitquest.co.za',False,False,http,False,False,False,16,True
'demo3.zlax.ru',False,False,http,False,False,False,13,True
'www.tts-uae.com',False,False,http,False,False,False,14,True
'savoegypt.com.eg',False,False,http,False,False,False,6,True
'nabcom-au.com',False,False,http,False,False,True,9,True
'artur-zbroniec.pl',False,False,http,False,False,False,9,True
'botoxedmonton.net',False,False,http,False,False,False,3,True
'flyers-ulotki.pl',False,False,http,False,False,False,13,True
'159.8.204.158',True,False,http,False,False,True,6,True
'trialo.pl',False,False,http,False,False,False,15,True
'cadastro.web2seguro.comlu.com',False,False,http,False,False,False,8,True
'minecrack.me',False,False,http,False,False,False,3,True
'www.fondazione-nannini.org',False,False,http,False,False,True,8,True
'ava.unijorge.com',False,False,http,False,False,False,3,True
'paypalservice-com.com',False,False,http,False,False,False,10,True
'adamzawada.com',False,False,http,False,False,False,10,True
'generalstafflibrary.com',False,False,http,False,False,False,12,True
'kredikartitaksitlendirmecisi.com',False,False,http,False,False,False,10,True
'fitquest.co.za',False,False,http,False,False,False,16,True
'hwl.cl',False,False,http,False,False,False,32,True
'skegnessjuniorrugby.com',False,False,http,False,False,False,8,True
'www.visionvanguard.com.au',False,False,http,False,False,False,10,True
'www.asayeltech.net',False,False,http,False,False,False,0,True
'www.younganthropologists.com',False,False,http,False,False,False,10,True
'sendmailing.com.ar',False,False,http,False,False,False,8,True
'www.ohiogts.com',False,False,http,False,False,False,13,True
'www.i-nitro.eu',False,False,http,False,False,True,45,True
'www.commbank.com.au.designstream.com.my',False,False,http,True,False,False,7,True
'checking-card.com',False,False,http,False,False,False,9,True
'www.aaaviajes.com',False,False,http,False,False,False,32,True
'kc72.cinqbonheur.com',False,False,http,False,False,False,4,True
'www.alldeals.ge',False,False,http,False,False,False,32,True
'wordpress.stabilisera.se',False,False,http,False,False,False,10,True
'fatcow.ga',False,False,http,False,False,False,5,True
'rsplumbheat.co.uk',False,False,http,False,False,False,14,True
'www.ricardoeletro.com.br.promo70off.com',False,False,http,True,False,False,8,True
'www.ricardoeletro.com.br.promo70off.com',False,False,http,True,False,False,8,True
'www.ricardoeletro.com.br.promo70off.com',False,False,http,True,False,False,8,True
'www.ricardoeletro.com.br.promo70off.com',False,False,http,True,False,False,8,True
'www.ricardoeletro.com.br.promo70off.com',False,False,http,True,False,False,8,True
'www.ricardoeletro.com.br.promo70off.com',False,False,http,True,False,False,0,True
'rowhuntsville.com',False,False,http,False,False,False,6,True
'www.mycbay.com',False,False,http,False,False,False,7,True
'www.hwiz.nl',False,False,http,False,False,False,32,True
'alldeals.ge',False,False,http,False,False,False,6,True
'alldeals.ge',False,False,http,False,False,False,32,True
'www.my-nude-video.ml',False,False,http,False,False,False,0,True
'stp-app.org',False,False,http,False,False,False,3,True
'fatcow.ga',False,False,http,False,False,False,5,True
'www.standrewsjobs.info',False,False,http,False,False,False,10,True
'www.martin-busker.de',False,False,http,False,False,False,32,True
'www.i-nitro.eu',False,False,http,False,False,True,45,True
'nicoletruxes.com',False,False,http,False,False,False,10,True
'www.impersim.com.mx',False,False,http,False,False,False,7,True
'www.seethruinteriors.com',False,False,http,False,False,False,8,True
'www.tgenie.de',False,False,http,False,False,False,12,True
'www.ohiogts.com',False,False,http,False,False,False,13,True
'shabu2house.com',False,False,http,False,False,False,8,True
'themurderscene.com.sg',False,False,http,False,False,False,4,True
'wenatcheechiropractor.com',False,False,http,False,False,False,10,True
'alfiobardolla.com',False,False,http,False,False,False,4,True
'92-223-191-8.ip275.fastwebnet.it',False,False,http,False,False,False,6,True
'www.bcgturkiye.com',False,False,http,False,False,False,7,True
'www.pelikan.lowicz.pl',False,False,http,False,False,False,32,True
'www.autovintagemotor.com',False,False,http,False,False,False,6,True
'www.centralbranded.com',False,False,http,False,False,False,11,True
'uesdestek.com',False,False,http,False,False,False,8,True
'misslyonstore.com',False,False,http,False,False,False,10,True
'digitaletachograaf.eu',False,False,http,False,False,False,0,True
'digitaletachograaf.eu',False,False,http,False,False,False,7,True
'searrin.net',False,False,http,False,False,False,9,True
'www.imberbarakia.co.za',False,False,http,False,False,False,8,True
'www.aaaviajes.com',False,False,http,False,False,False,32,True
'escortgirlsahmedabad.in',False,False,http,False,False,False,2,True
'magnatex.ge',False,False,http,False,False,False,32,True
'magnatex.ge',False,False,http,False,False,False,11,True
'magnatex.ge',False,False,http,False,False,False,11,True
'bankofamerica-com-update-new-secure-loading-sitkey-onilne-pass.info',False,False,http,False,False,False,32,True
'mgerontes.us.lveklxk.tk',False,False,http,False,False,True,5,True
'www.buysell.earningfair.com',False,False,http,False,False,False,8,True
'thenomadesk.fr',False,False,http,False,False,False,12,True
'www.o3.cl',False,False,http,False,False,False,11,True
'www.tacmaritimeterritory.com',False,False,http,False,False,False,32,True
'www.hultgrens.se',False,False,http,False,False,False,8,True
'www.raw-motorsports.com',False,False,http,False,False,True,11,True
'www.hedefmarketing.com',False,False,http,False,False,True,21,True
'www.artofrecruiting.com',False,False,http,False,False,True,23,True
'www.willistoncurling.com',False,False,http,False,False,False,7,True
'www.nemprojects.com',False,False,http,False,False,False,27,True
'mysqlholdcm3.tempdomainname.com',False,False,http,False,False,False,10,True
'www.mydoggiftstore.com',False,False,http,False,True,True,15,True
'www.riko.net.br',False,False,http,False,False,False,7,True
'proton.simbioz.in.ua',False,False,http,False,False,False,6,True
'paypal-account-support.com',False,False,http,False,False,False,0,True
'dl.dropboxusercontent.com',False,False,https,False,False,False,9,True
'www.trust.af',False,False,http,False,False,False,9,True
'bodyfitcamp.co.uk',False,False,http,False,False,False,3,True
'polysurf.com',False,False,http,False,False,False,8,True
'www.8ola.com',False,False,http,False,False,False,21,True
'dronefusion.com',False,False,http,False,False,False,8,True
'paykale.com',False,False,http,False,False,False,7,True
'lovemondo.com',False,False,http,False,False,False,5,True
'thescg.ca',False,False,http,False,False,True,17,True
'throughmyafricanlens.co.za',False,False,http,False,False,False,5,True
'www.fay3.com',False,False,https,False,False,False,6,True
'www.saad-madafaka.com',False,False,http,False,False,False,32,True
'appleid6.apple.com.blissvillabali.com',False,False,http,True,False,False,7,True
'autovintagemotor.com',False,False,http,False,False,False,6,True
'www.restaurantatlas.ro',False,False,http,False,False,False,4,True
'www.bankofamerica-com-update-new-secure-loading-sitkey-onilne-pass.info',False,False,http,False,False,False,32,True
'jaygarvigujaratnews.in',False,False,http,False,False,False,0,True
'mw-detectives.com',False,False,http,False,False,False,0,True
'daniloangioletti.it',False,False,http,False,False,True,8,True
'www.besaresparrilla.com.ar',False,False,http,False,False,False,4,True
'www.jktravel.in',False,False,http,False,False,False,11,True
'www.baroncapitaleafi.com',False,False,http,False,False,False,9,True
'hosting.net.pe',False,False,http,False,False,False,9,True
'calidadlaunionvalle.net',False,False,http,False,False,True,23,True
'artofrecruiting.com',False,False,http,False,False,True,23,True
'primogroup.kz',False,False,http,False,False,True,6,True
'ni584092_1.vweb06.nitrado.net',False,False,http,False,False,False,10,True
'www.drwhoandwale.org',False,False,http,False,False,False,20,True
'appleid6.apple.com.smktunashusada.sch.id',False,False,http,True,False,False,7,True
'www.autoschadewitje.nl',False,False,http,False,False,True,14,True
'birdssongs.com',False,False,http,False,False,False,3,True
'eaststreetsalon.com',False,False,http,False,False,True,46,True
'www.schmidtmechanical.com',False,False,http,False,False,False,14,True
'sonegoconstrucoes.com.br',False,False,http,False,False,False,8,True
'www.roninsushi.com',False,False,http,False,False,False,11,True
'www.roninsushi.com',False,False,http,False,False,False,32,True
'www.avocatmanta.ro',False,False,http,False,False,False,32,True
'www.avocatmanta.ro',False,False,http,False,False,False,8,True
'internetbanking800864.esy.es',False,False,http,False,False,False,5,True
'magnatex.ge',False,False,http,False,False,False,10,True
'www.aaaviajes.com',False,False,http,False,False,False,32,True
'mysqlholdcm3.tempdomainname.com',False,False,http,False,False,False,10,True
'www.fransaeyelts.com',False,False,http,False,False,False,7,True
'dropbox.balaiospizzaria.com.br',False,False,http,False,False,False,12,True
'firebyknight.com',False,False,http,False,False,True,17,True
'firebyknight.com',False,False,http,False,False,True,17,True
'fcb4ever.de',False,False,http,False,False,False,6,True
'autoschadewitje.nl',False,False,http,False,False,True,14,True
'www.bagdasnakliyat.com',False,False,http,False,False,False,11,True
'www.balancingbehavior.com',False,False,http,False,False,False,12,True
'www.apvc.com.br',False,False,http,False,False,False,8,True
'gia.gm',False,False,http,False,False,True,7,True
'ns1.bsalva.com',False,False,http,False,False,False,10,True
'routes-consult.com',False,False,http,False,False,False,8,True
'www.rodriguezehijo.com.ar',False,False,http,False,False,False,11,True
'159.122.29.210',True,False,http,False,False,False,6,True
'cyberspacepromotions.com',False,False,http,False,False,False,3,True
'acesso.cadastrosegurocaixa.org',False,False,http,False,False,False,8,True
'jktravel.in',False,False,http,False,False,False,10,True
'acesso.cadastrosegurocaixa.org',False,False,http,False,False,False,8,True
'www.aaaviajes.com',False,False,http,False,False,False,32,True
'wetpaws.ie',False,False,http,False,False,False,3,True
'bankofamerica-com-update-new-secure-loading-sitkey-onilne-pass.info',False,False,http,False,False,False,32,True
'hotmail.denisejhughes.com',False,False,http,False,False,False,4,True
'lloydloomonline.com',False,False,http,False,False,True,8,True
'sroujiholding.com',False,False,http,False,False,False,3,True
'iaca-seattle.org',False,False,http,False,False,True,70,True
'iaca-seattle.org',False,False,http,False,False,True,70,True
'iaca-seattle.org',False,False,http,False,False,True,70,True
'iaca-seattle.org',False,False,http,False,False,True,70,True
'iaca-seattle.org',False,False,http,False,False,True,70,True
'nadg.com.pl',False,False,http,False,False,True,32,True
'viverofranciscodeasis.cl',False,False,http,False,False,False,11,True
'willistoncurling.com',False,False,http,False,False,True,7,True
'www.tsmlogistics.net',False,False,http,False,False,True,12,True
'wordpress.stabilisera.se',False,False,http,False,False,False,10,True
'www.bb-cadastro.com',False,False,http,False,False,False,0,True
'bestcad.com.br',False,False,http,False,False,True,30,True
'www.settps2.5gbfree.com',False,False,http,False,False,False,16,True
'cpanel5.easyweb.com',False,False,https,False,False,False,32,True
'assistanceservice.id.ai',False,False,http,False,False,False,0,True
'198.50.197.81',True,False,http,False,False,True,9,True
'afinbk.ws',False,False,http,False,False,False,17,True
'afinbk.ws',False,False,http,False,False,False,2,True
'vip-answering.com',False,False,http,False,False,True,19,True
'vip-answering.com',False,False,http,False,False,True,19,True
'198.50.150.68',True,False,http,False,False,True,14,True
'50.22.218.118',True,False,http,False,False,False,13,True
'acfisa.org',False,False,http,False,False,False,10,True
'smkpp9satu.edu.my',False,False,http,False,False,False,12,True
'naosalvovcs.kinghost.net',False,False,http,False,False,False,1,True
'jaaqth.ga',False,False,http,False,False,True,37,True
'roninsushi.com',False,False,http,False,False,False,32,True
'johnm8.com',False,False,http,False,False,False,10,True
'www.adhocnovios.cl',False,False,http,False,False,False,0,True
'hyades-itea.org',False,False,http,False,False,False,11,True
'allcraftprojects.com.au',False,False,http,False,False,True,12,True
'www.rokhmindahuri.info',False,False,http,False,False,False,9,True
'www.miamilujo.com',False,False,http,False,False,False,3,True
'www.proga.pl',False,False,http,False,False,False,4,True
'www.myrgroup.net',False,False,http,False,False,False,9,True
'www.salomiprinsloo.com',False,False,http,False,False,False,9,True
'www.tractorguy.biz',False,False,http,False,False,False,32,True
'blondelike.me',False,False,http,False,False,True,7,True
'www.architailors.com',False,False,http,False,False,True,140,True
'pesquisamais.com.br',False,False,http,False,True,False,11,True
'www.butesonsanddaughters.co.uk',False,False,http,False,False,False,7,True
'www.kredikartitaksitlendirmecisi.com',False,False,http,False,False,False,10,True
'thepowerpartners.us',False,False,http,False,False,True,32,True
'thepowerpartners.us',False,False,http,False,False,True,32,True
'johndescamps.com',False,False,http,False,False,True,8,True
'thepowerpartners.us',False,False,http,False,False,True,32,True
'thepowerpartners.us',False,False,http,False,False,True,32,True
'thepowerpartners.us',False,False,http,False,False,True,32,True
'www.acct.risole.com',False,False,http,False,False,False,5,True
'www.acct.risole.com',False,False,http,False,False,True,14,True
'www.acct.risole.com',False,False,http,False,False,True,14,True
'www.rhodiumcapital.sg',False,False,http,False,False,False,32,True
'www.littleveniceadventures.co.za',False,False,http,False,False,True,11,True
'www.littleveniceadventures.co.za',False,False,http,False,False,True,11,True
'www.littleveniceadventures.co.za',False,False,http,False,False,True,11,True
'www.ferry.risole.com',False,False,http,False,False,False,5,True
'billing-paypl.com',False,False,http,False,False,False,32,True
'element-r.com',False,False,http,False,False,False,15,True
'anytimeappliancerepairdmv.com',False,False,http,False,False,False,32,True
'aktywny50.wsfiz.edu.pl',False,False,http,False,False,False,10,True
'www.blizzard-wow-login-en-us-battle.com',False,False,http,False,False,True,7,True
'www.avocatmanta.ro',False,False,http,False,False,False,32,True
'www.iphone-coupon-app.com',False,False,http,False,False,False,9,True
'www.mizbanseo.com',False,False,http,False,False,False,7,True
'thecleaneatingfreak.com',False,False,http,False,False,False,3,True
'warz-chaets.ml',False,False,http,False,False,False,0,True
'theoverflowlife.com',False,False,http,False,False,False,6,True
'ninth.rit.se',False,False,http,False,False,True,37,True
'ninth.rit.se',False,False,http,False,False,True,37,True
'ninth.rit.se',False,False,http,False,False,True,37,True
'ninth.rit.se',False,False,http,False,False,True,37,True
'ninth.rit.se',False,False,http,False,False,True,37,True
'ninth.rit.se',False,False,http,False,False,True,37,True
'claim.presentsforsubs.com',False,False,http,False,False,False,0,True
'ninth.rit.se',False,False,http,False,False,True,37,True
'appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify4.id-eu3.com',False,False,http,True,False,False,0,True
'appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify8.id-eu3.com',False,False,http,True,False,False,0,True
'appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify8.id-eu3.com',False,False,http,True,False,False,118,True
'appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify8.id-eu3.com',False,False,http,True,False,False,0,True
'appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify9.id-eu3.com',False,False,http,True,False,False,118,True
'www.campuscrave.com',False,False,http,False,False,True,11,True
'www.schnauzersistemas.com',False,False,http,False,False,False,17,True
'sesociable.com',False,False,http,False,False,False,8,True
'www.totalit.co.il',False,False,http,False,False,False,6,True
'www.digiland.ro',False,False,http,False,False,False,32,True
'buttonbooks.com',False,False,http,False,False,False,9,True
'appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify5.id-eu3.com',False,False,http,True,False,False,118,True
'www.thisisours.org',False,False,http,False,False,False,10,True
'thepowerpartners.us',False,False,http,False,False,True,32,True
'roninsushi.com',False,False,http,False,False,False,32,True
'insideoutwellnesscoach.com',False,False,http,False,False,False,11,True
'nael.ae',False,False,http,False,False,False,32,True
'secure.store.apple.com.mendivilprop.com.ar',False,False,http,True,False,True,120,True
'dev.hevadis.com',False,False,http,False,False,False,15,True
'www.shopbetho.com',False,False,http,False,False,True,6,True
'www.mjtech-international.com',False,False,http,False,False,False,11,True
'www.melissacakes.com.au',False,False,http,False,False,False,5,True
'www.id-eu3.com',False,False,http,False,False,False,118,True
'www.eggsculpture.com',False,False,http,False,False,False,9,True
'www.avocatmanta.ro',False,False,http,False,False,False,32,True
'roninsushi.com',False,False,http,False,False,False,32,True
'www.roninsushi.com',False,False,http,False,False,False,32,True
'www.princetonlinensupply.com',False,False,http,False,False,False,14,True
'unipi.dimitriadis.me',False,False,http,False,False,False,7,True
'www.sunshinersband.com',False,False,http,False,False,False,11,True
'cadastro.cadastrosegurocaixa.org',False,False,http,False,False,False,8,True
'zytuo.cuecqk.tk',False,False,http,False,False,True,5,True
'ooq.cuecqk.tk',False,False,http,False,False,True,5,True
'rcracing.ro',False,False,http,False,False,False,13,True
'jaygarvigujaratnews.in',False,False,http,False,False,False,0,True
'www.europeanintexas.com',False,False,http,False,False,False,11,True
'biogas-rec.com',False,False,http,False,False,False,4,True
'villakalkan.net',False,False,http,False,False,False,6,True
'schmidtmechanical.com',False,False,http,False,False,False,14,True
'appleid6.apple.com.blissvillabali.com',False,False,http,True,False,False,7,True
'www.id-eu3.com',False,False,http,False,False,False,118,True
'wepaymoreauto.com',False,False,http,False,False,False,8,True
'www.ferry.risole.com',False,False,http,False,False,False,5,True
'sirenpower.com',False,False,http,False,False,True,13,True
'roninsushi.com',False,False,http,False,False,False,32,True
'www.dandan1.ir',False,False,http,False,False,False,11,True
'ring2home.com',False,False,http,False,False,False,0,True
'suministrosjofer.com',False,False,http,False,False,False,0,True
'www.roninsushi.com',False,False,http,False,False,False,32,True
